Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Grcohrt,Number of Records,Pgrcohrt,Ret Nmf,Ret Pcf,Rrftcta,Rrftct,Rrftex,Stufacr,Ugentern,Unitid (Ef2013D),Unitid
7245,18283,,7245,18283,,13077,24115,,823,1,22,645,77,834,834,0,28,3729,111920,111920
7139,18301,,7139,18301,,12131,23293,,1247,1,22,692,73,946,946,0,27,5795,111939,111939
49113,59413,59459,49113,59413,59459,49113,59413,59459,1284,1,74,1155,91,1273,1273,0,14,1724,111948,111948
18181,29500,,18181,29500,,18181,29500,,4,1,11,1,100,1,1,0,7,35,111966,111966
35610,46750,43550,35610,46750,43550,35610,46750,43550,373,1,62,229,76,300,300,0,11,604,112075,112075
32074,43234,40252,32074,43234,40252,32074,43234,40252,125,1,44,56,68,82,82,0,17,282,112084,112084
7114,14395,,7114,14395,,11026,18307,,1217,1,31,556,72,768,768,0,33,3979,112172,112172
7259,18275,,7259,18275,,12733,23749,,1572,1,26,1225,68,1793,1793,0,22,6038,112190,112190
,,62010,,,62010,,,62010,337,1,94,280,96,291,291,0,9,360,112260,112260
7973,21160,,7973,21160,,12125,25312,,182,1,4,80,61,131,131,0,41,4095,112385,112385
22145,33305,31860,22145,33305,31860,22145,33305,31860,73,1,48,41,80,51,51,0,10,151,112394,112394
23296,30649,,23296,30649,,23296,30649,,65,1,96,0,,0,0,0,7,68,112446,112446
7208,18224,,7208,18224,,12104,23120,,298,1,32,156,58,270,270,0,19,923,112561,112561
23462,34424,34424,23462,34424,34424,23462,34424,34424,44,1,63,28,64,44,44,0,11,70,112570,112570
5552,17108,,5552,17108,,9632,21188,,412,1,16,199,63,315,315,0,29,2631,112686,112686
12027,19006,,12027,19006,,17767,24746,,313,1,18,212,67,316,316,0,26,1780,112826,112826
7080,17682,,7080,17682,,13176,23778,,734,1,18,453,77,588,588,0,30,4181,113096,113096
5568,21324,,5568,21324,,8352,24108,,366,1,21,262,71,368,368,0,25,1756,113111,113111
7215,18375,,7215,18375,,12389,23549,,1019,1,35,641,64,1000,1000,0,25,2935,113193,113193
6086,16986,,6086,16986,,11596,22496,,600,1,21,292,72,404,404,0,25,2908,113218,113218
7036,17836,,7036,17836,,12052,22852,,1084,1,22,526,73,718,718,0,26,4992,113236,113236
7671,19146,,7671,19146,,14151,25626,,2754,1,40,2123,79,2686,2686,0,27,6947,113333,113333
15702,25918,,15702,25918,,15702,25918,,,1,,0,,0,0,0,10,,113537,113537
