Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
48302,61192,61192,48302,61192,61192,48302,61192,61192,5414,1901,7315,1,121150,121150
48018,63018,61416,48018,63018,61416,48018,63018,61416,1044,37,1081,1,121257,121257
36844,45700,,36844,45700,,36844,45700,,370,0,370,1,121275,121275
36341,47501,44593,36341,47501,44593,36341,47501,44593,2669,690,3359,1,121309,121309
45630,53718,59730,45630,53718,59730,45630,53718,59730,1596,14,1610,1,121345,121345
6226,15402,,6226,15402,,11910,21086,,1662,2148,3810,1,121363,121363
28057,33425,,28057,33425,,28057,33425,,459,112,571,1,121381,121381
7127,18287,,7127,18287,,11159,22319,,4793,26322,31115,1,121619,121619
47343,58503,58559,47343,58503,58559,47343,58503,58559,3907,1240,5147,1,121691,121691
6043,16139,12686,6043,16139,12686,6043,16139,12686,1901,3037,4938,1,121707,121707
7118,17963,,7118,17963,,11678,22523,,4389,12159,16548,1,121886,121886
7654,20166,,7654,20166,,13354,25866,,4863,13302,18165,1,121901,121901
22479,28383,,22479,28383,,22479,28383,,114,445,559,1,121983,121983
7080,17682,,7080,17682,,13176,23778,,6144,17365,23509,1,122180,122180
8062,19618,,8062,19618,,11994,23550,,6334,14537,20871,1,122205,122205
7127,18287,,7127,18287,,11687,22847,,3828,12482,16310,1,122339,122339
